name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last
cessa,luis,570666,cessl001,cessalu01,13345,2016,2023
locastro,tim,641796,locat001,locasti01,15124,2017,2023
cabrera,oswaldo,665828,cabro002,cabreos01,21707,2022,2025
cole,a. j.,595918,colea002,coleaj01,11467,2015,2021
holmes,clay,605280,holmc001,holmecl01,13649,2018,2025
judge,aaron,592450,judga001,judgeaa01,15640,2016,2025
lemahieu,dj,518934,lemad001,lemahdj01,9874,2011,2025
kelley,shawn,518875,kells001,kellesh01,7773,2009,2019
refsnyder,rob,608701,refsr001,refsnro01,13770,2015,2025
murphy,j. r.,571974,murpj001,murphjr01,10346,2013,2020
tanaka,masahiro,547888,tanam001,tanakma01,15764,2014,2020
peterson,jace,607054,petej002,peterja01,12325,2014,2024
calhoun,willie,641432,calhw001,calhowi01,17838,2017,2024
swisher,nick,430897,swisn001,swishni01,4599,2004,2015
gallegos,giovanny,606149,gallg001,gallegi01,14986,2017,2024
rizzo,anthony,519203,rizza001,rizzoan01,3473,2011,2024
jones,garrett,434540,joneg002,jonesga02,2714,2007,2015
nova,iván,467100,novai001,novaiv01,1994,2010,2020
austin,tyler,592122,austt001,austity01,11850,2016,2019
capuano,chris,425626,capuc001,capuach01,1701,2003,2016
colón,bartolo,112526,colob001,colonba01,375,1997,2018
noel,rico,592596,noelr001,noelri02,10585,2015,2015
guzmán,ronald,608597,guzmr001,guzmaro01,14388,2018,2022
andújar,miguel,609280,andum001,andujmi01,15878,2017,2025
ellsbury,jacoby,453056,ellsj001,ellsbja01,4727,2007,2017
ishikawa,travis,448170,ishit001,ishiktr01,4793,2006,2015
higashioka,kyle,543309,higak001,higasky01,5517,2017,2025
velazquez,andrew,623205,velaa001,velazan01,14196,2018,2023
young,eric,458913,youne003,younger03,7158,2009,2018
gittens,chris,656467,gittc001,gittech01,18482,2021,2021
matzek,tyler,554431,matzt001,matzety01,10058,2014,2025
happ,j. a.,457918,happj001,happja01,7410,2007,2021
mccann,brian,435263,mccab002,mccanbr01,4810,2005,2019
fowler,dustin,641583,fowld002,fowledu01,17098,2017,2021
johnson,kelly,430637,johnk003,johnske05,2234,2005,2016
escarra,j. c.,641555,escaj001,escarjc01,-1,2025,2025
romine,austin,519222,romia002,rominau01,5491,2011,2022
germán,domingo,593334,germd001,germado01,17149,2017,2024
benintendi,andrew,643217,benia002,beninan01,17901,2016,2025
volpe,anthony,683011,volpa001,volpean01,27647,2023,2025
ellis,duke,668752,ellid003,ellisdu01,-1,2024,2024
gamel,ben,592325,gameb001,gamelbe01,12160,2016,2024
bellinger,cody,641355,bellc002,bellico01,15998,2017,2025
pinder,branden,572038,pindb001,pindebr01,12093,2015,2016
rosario,amed,642708,rosaa003,rosaram01,15518,2017,2025
narváez,carlos,665966,narvc002,narvaca01,-1,2024,2025
richardson,antoan,460322,richa001,richaan01,209,2011,2014
hughes,phil,461833,hughp001,hugheph01,7450,2007,2018
donaldson,josh,518626,donaj001,donaljo02,5038,2010,2023
phelps,david,475479,pheld001,phelpda01,6316,2012,2022
huffman,chad,502151,huffc001,huffmch01,5311,2010,2017
cortés,néstor,641482,cortn001,cortene01,17874,2018,2025
tulowitzki,troy,453064,tulot001,tulowtr01,3531,2006,2019
peralta,wandy,593974,peraw002,peralwa01,14295,2016,2025
cordero,franchy,614173,cordf003,cordefr02,14567,2017,2023
shreve,chasen,592741,shrec001,shrevch01,10855,2014,2024
torres,gleyber,650402,torrg001,torregl01,16997,2018,2025
sabathia,cc,282332,sabac001,sabatc.01,404,2001,2019
caballero,josé,676609,cabaj001,cabaljo01,23401,2023,2025
schmidt,clarke,657376,schmc002,schmicl01,19899,2020,2025
leblanc,wade,453281,leblw001,leblawa01,5221,2008,2021
cotham,caleb,571584,cothc001,cothaca01,10075,2015,2016
drury,brandon,592273,drurb001,drurybr01,11615,2015,2024
mercer,jordy,474568,mercj002,mercejo03,6547,2012,2021
