name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last
bradley,jed,605152,bradj002,bradlje01,13166,2016,2016
sadler,casey,594987,sadlc002,sadleca02,11209,2014,2021
miller,owen,680911,millo002,milleow01,24655,2021,2025
castillo,diego,660636,castd004,castidi02,19906,2022,2024
cessa,luis,570666,cessl001,cessalu01,13345,2016,2023
zastryzny,rob,642239,zastr001,zastrro01,15094,2016,2025
sipp,tony,448609,sippt001,sippto01,8280,2009,2019
vogelsong,ryan,285064,voger001,vogelry01,1011,2000,2016
gómez,roberto,596816,gomer002,gomezro01,12963,2017,2018
granillo,andre,701552,grana001,granian01,-1,2025,2025
petricka,jake,502593,petrj001,petrija01,10534,2013,2021
hall,matt,664180,hallm002,hallma02,18076,2018,2020
díaz,edwin,621242,diaze006,diazed04,14710,2016,2025
lopez,nicky,670032,lopen001,lopezni01,19339,2019,2025
scribner,troy,644428,scrit001,scribtr01,15570,2017,2018
kiekhefer,dean,518883,kiekd001,kiekhde01,10529,2016,2018
junis,jakob,596001,junij001,junisja01,13619,2017,2025
neris,héctor,593576,nerih001,nerishe01,11804,2014,2025
reyes,jo-jo,457456,reyej003,reyesjo03,5559,2007,2016
otto,glenn,657248,ottog001,ottogl01,21366,2021,2023
miller,justin,502522,millj006,milleju02,8580,2014,2021
chavez,jesse,445926,chavj001,chaveje01,5448,2008,2025
giolito,lucas,608337,gioll001,giolilu01,15474,2016,2025
zimmermann,jordan,519455,zimmj003,zimmejo02,4505,2009,2021
beasley,jeremy,676886,beasj001,beaslje01,20205,2020,2022
bird,kyle,613317,birdk001,birdky01,16618,2019,2019
otero,dan,519096,oterd001,oteroda01,7385,2012,2019
assad,javier,665871,assaj001,assadja01,21741,2022,2025
plawecki,kevin,608700,plawk001,plaweke01,13807,2015,2022
despaigne,odrisamer,628333,despo001,despaod01,16017,2014,2019
schuster,patrick,572119,schup001,schuspa01,10029,2016,2016
gonsalves,stephen,624427,gonss001,gonsast01,15492,2018,2021
bradish,kyle,680694,bradk001,bradiky01,24586,2022,2025
bote,david,623520,boted002,boteda01,14593,2018,2024
claiborne,preston,502011,claip001,claibpr01,10500,2013,2017
turnbull,spencer,605513,turns003,turnbsp01,16207,2018,2025
price,david,456034,pricd001,priceda01,3184,2008,2022
tyler,kyle,667725,tylek001,tylerky01,22092,2021,2024
wisdom,patrick,621550,wisdp001,wisdopa01,13602,2018,2024
sittinger,brandyn,670087,sittb001,sittibr01,19192,2021,2021
márquez,brailyn,666622,marqb001,marqubr01,21896,2020,2020
crochet,garrett,676979,crocg001,crochga01,27463,2020,2025
garcía,jason,592329,garcj005,garcija03,12143,2015,2015
brice,austin,592169,brica001,briceau01,17237,2016,2022
tseng,jen-ho,627500,tsenj001,tsengje01,15524,2017,2018
davidson,matt,571602,davim005,davidma02,7226,2013,2022
whisenhunt,carson,687931,whisc001,whiseca01,-1,2025,2025
may,trevor,543507,may-t001,maytr01,6398,2014,2023
estrada,jeremiah,669093,estrj002,estraje01,22210,2022,2025
cole,a. j.,595918,colea002,coleaj01,11467,2015,2021
waldron,matt,663362,waldm003,waldrma01,25550,2023,2025
rodríguez,eduardo,593958,rodre004,rodried05,13164,2015,2025
wilson,steven,621051,wilss002,wilsost02,20353,2022,2025
williams,austen,657117,willa003,williau01,16309,2018,2019
gray,jon,592351,grayj003,grayjo02,14916,2015,2025
lester,josh,623507,lestj002,lestejo02,17737,2022,2023
bedrosian,cam,592135,bedrc001,bedroca01,13360,2014,2021
billingsley,chad,451532,billc001,billich01,5842,2006,2015
holmes,clay,605280,holmc001,holmecl01,13649,2018,2025
ramsey,lane,682010,ramsl001,ramsela02,25071,2023,2023
vasquez,andrew,607755,vasqa002,vasquan02,19482,2018,2023
cueto,johnny,456501,cuetj001,cuetojo01,6893,2008,2024
romo,sergio,489265,romos001,romose01,9817,2008,2022
stallings,jacob,607732,stalj001,stallja01,13723,2016,2025
ross,tyson,475115,rosst001,rossty01,7872,2010,2019
burke,brock,656271,burkb001,burkebr01,17968,2019,2025
bowden,ben,641386,bowdb001,bowdebe01,20198,2021,2025
edgin,josh,572831,edgij001,edginjo01,10796,2012,2017
rom,drew,680723,rom-d001,romdr01,24602,2023,2023
gregg,kevin,276514,gregk001,greggke01,1793,2003,2015
lee,chase,695445,lee-c005,leech02,-1,2025,2025
barría,jaime,642545,barrj003,barrija01,18356,2018,2023
duensing,brian,488846,duenb001,duensbr01,4064,2009,2018
santos,gregory,666619,santg001,santogr01,21894,2021,2025
mejía,j. c.,650496,mejij002,mejiaje02,20617,2021,2023
cox,austin,680735,cox-a001,coxau01,24604,2023,2025
muñoz,rolddy,691548,munor002,munozro02,-1,2025,2025
mengden,daniel,596043,mengd001,mengdda01,16980,2016,2022
kelley,shawn,518875,kells001,kellesh01,7773,2009,2019
martin,kyle,573016,martk003,martiky01,14860,2017,2017
garcía,edgar,658305,garce001,garcied01,19276,2019,2021
battenfield,peyton,685410,battp001,battepe01,25777,2023,2023
del pozo,miguel,600887,delpm001,delpomi01,18792,2019,2021
owings,chris,572008,owinc001,owingch01,10030,2013,2023
murphy,j. r.,571974,murpj001,murphjr01,10346,2013,2020
mercado,michael,675650,mercm002,mercami01,-1,2024,2025
barco,hunter,682995,barch001,barcohu01,-1,2025,2025
sasaki,roki,808963,sasar001,sasakro01,-1,2025,2025
rearick,chris,595371,rearc001,rearich01,11050,2015,2015
pallante,andre,669467,palla001,pallaan01,26108,2022,2025
bashlor,tyler,641341,basht001,bashlty01,15203,2018,2020
dodd,dylan,689266,doddd001,dodddy01,29928,2023,2025
mckay,david,641853,mckad001,mckayda02,19814,2019,2022
gómez,jeanmar,491646,gomej002,gomezje01,9033,2010,2019
gomber,austin,596295,gomba001,gombeau01,16561,2018,2025
lecure,sam,459967,lecus001,lecursa01,4664,2010,2015
garza,ralph,621248,garzr001,garzara01,17682,2021,2022
hancock,justin,606995,hancj002,hancoju01,12316,2018,2018
funkhouser,kyle,608335,funkk001,funkhky01,19456,2020,2021
alvarez,r. j.,571439,alvar001,alvarrj01,13401,2014,2022
elledge,seth,676220,elles001,elledse01,19766,2020,2021
atkins,mitch,444444,atkim001,atkinmi01,8369,2009,2011
tanaka,masahiro,547888,tanam001,tanakma01,15764,2014,2020
gilbert,logan,669302,gilbl002,gilbelo01,22250,2021,2025
blanton,joe,430599,blanj001,blantjo01,4849,2004,2017
nelson,ryne,669194,nelsr003,nelsory01,26253,2022,2025
moore,mckinley,686842,moorm004,mooremc01,25663,2023,2023
guerrero,luis,692285,guerl001,guerrlu01,-1,2024,2025
felipe,angel,665734,felia001,felipan01,21163,2023,2023
peterson,jace,607054,petej002,peterja01,12325,2014,2024
woodford,jake,663765,woodj003,woodfja01,18674,2020,2025
ferrell,jeff,594815,ferrj001,ferreje01,11506,2015,2017
soriano,george,666277,sorig001,soriage01,21863,2023,2025
erceg,lucas,668674,ercel001,erceglu01,19360,2023,2025
somsen,layne,643550,somsl001,somsela01,15301,2016,2016
neal,zach,594943,nealz001,nealza01,11294,2016,2023
molina,anthony,683627,molia001,molinan01,26952,2024,2025
castillo,josé,620454,castj007,castijo03,17169,2018,2025
mccutchen,daniel,445216,mccud001,mccutda01,263,2009,2014
plassmeyer,michael,674681,plasm001,plassmi01,23191,2022,2023
garton,ryan,623439,gartr001,gartory01,14016,2016,2019
medina,yoervis,500721,mediy001,medinyo01,10498,2013,2015
winder,josh,680739,windj002,windejo01,24606,2022,2024
speas,alex,666208,speaa001,speasal01,21859,2023,2024
martínez,nick,607259,martn002,martini01,12730,2014,2025
harvey,joe,642840,harvj001,harvejo01,16459,2019,2020
jackson,jay,543351,jackj001,jacksja01,7432,2015,2024
ridings,stephen,670050,ridis001,ridinst01,22358,2021,2021
kershaw,clayton,477132,kersc001,kershcl01,2036,2008,2025
wilson,josh,425543,wilsj003,wilsojo03,2102,2005,2015
castro,miguel,612434,castm002,castrmi01,15684,2015,2025
maurer,brandon,543506,maurb001,maurebr01,4878,2013,2018
alcántara,victor,622505,alcav001,alcanvi01,15028,2017,2019
festa,matt,670036,festm001,festama01,19330,2018,2025
webb,ryan,444436,webbr001,webbry01,7474,2009,2016
turner,jacob,545363,turnj002,turneja01,10185,2011,2018
rondón,héctor,444468,rondh001,rondohe01,2391,2013,2020
lester,jon,452657,lestj001,lestejo01,4930,2006,2021
pérez,hernán,541650,pereh001,perezhe01,5751,2012,2021
rodríguez,sean,446481,rodrs002,rodrise01,6589,2008,2020
lemoine,jacob,621082,lemoj001,lemoija01,19785,2022,2022
boyd,matt,571510,boydm001,boydma01,15440,2015,2025
beeler,dallas,542923,beeld001,beeleda01,11471,2014,2015
de la cruz,joel,503444,delaj003,delacjo01,12825,2016,2016
de la rosa,rubby,523989,delar003,delarru01,3862,2011,2017
bolaños,ronald,671790,bolar001,bolanro01,20041,2019,2022
reininger,zac,643617,reinz001,reiniza01,15285,2017,2019
milone,tommy,543548,milot001,milonto01,7608,2011,2023
eder,jake,671109,ederj001,ederja01,-1,2024,2025
lópez,reynaldo,625643,loper003,lopezre01,16400,2016,2025
lee,korey,686676,lee-k002,leeko01,25543,2022,2025
taylor,ben,664701,taylb002,taylobe10,18114,2017,2018
hentges,sam,656529,hents001,hentgsa01,18548,2021,2024
chatwood,tyler,543022,chatt001,chatwty01,4338,2011,2021
gallegos,giovanny,606149,gallg001,gallegi01,14986,2017,2024
gonzález,victor,624647,gonzv001,gonzavi02,16408,2020,2024
rasmus,cory,474284,rasmc002,rasmuco02,2413,2013,2016
withrow,chris,519437,withc001,withrch01,7161,2013,2016
matsui,yuki,673513,matsy001,matsuyu01,33826,2024,2025
castro,ángel,502162,casta004,castran01,3243,2015,2015
mujica,josé,620445,mujij001,mujicjo01,17821,2020,2020
kriske,brooks,621139,krisb001,kriskbr01,21189,2020,2025
sánchez,cristopher,650911,sancc002,sanchcr01,20778,2021,2025
pearson,nate,663878,pearn001,pearsna01,20160,2020,2025
megill,trevor,656730,megit001,megiltr01,17722,2021,2025
kintzler,brandon,445213,kintb001,kintzbr01,9939,2010,2021
johnson,brian,598271,johnb004,johnsbr02,14272,2015,2019
palumbo,joe,643478,paluj001,palumjo01,17035,2019,2020
eades,ryan,592280,eader001,eadesry01,14808,2019,2019
jaye,myles,594867,jayem001,jayemy01,11769,2017,2017
buchholz,clay,453329,buchc001,buchhcl01,3543,2007,2019
barker,luke,673316,barkl002,barkelu01,19609,2022,2022
arroyo,christian,624414,arroc001,arroych01,16434,2017,2023
rosales,adam,489267,rosaa001,rosalad01,9682,2008,2018
campbell,paul,669294,campp001,campbpa02,22248,2021,2021
strzelecki,peter,657265,strzp001,strzepe01,21367,2022,2024
walsh,jared,665120,walsj001,walshja01,18607,2019,2024
morrow,brandon,453344,morrb001,morrobr01,9346,2007,2018
stumpf,daniel,621385,stumd001,stumpda01,13780,2016,2019
koerner,brody,621259,koerb001,koernbr01,17748,2021,2021
wilkerson,aaron,658792,wilka003,wilkeaa01,16904,2017,2019
gurka,jason,543261,gurkj001,gurkaja01,8007,2015,2017
jungmann,taylor,543380,jungt001,jungmta01,13119,2015,2017
broderick,brian,518495,brodb001,brodebr01,3773,2011,2011
reynolds,matt,519186,reynm002,reynoma02,8887,2010,2016
morales,osmer,591672,morao001,moralos01,17133,2018,2018
gamboa,eddie,543195,gambe001,gamboed01,6911,2016,2016
vesia,alex,681911,vesia001,vesiaal01,25007,2020,2025
nova,iván,467100,novai001,novaiv01,1994,2010,2020
hand,brad,543272,handb001,handbr01,9111,2011,2023
brennan,brandon,592165,brenb003,brennbr01,13527,2019,2021
reyes,jesús,660875,reyej004,reyesje01,19277,2018,2018
nicasio,juan,504379,nicaj001,nicasju01,7731,2011,2020
strasburg,stephen,544931,stras001,strasst01,10131,2010,2022
uwasawa,naoyuki,683822,uwasn001,uwasana01,-1,2024,2024
bolsinger,mike,502211,bolsm001,bolsimi01,11137,2014,2017
nikhazy,doug,680951,nikhd001,nikhado01,-1,2025,2025
boushley,caleb,676961,bousc001,boushca01,19736,2023,2025
jiménez,eduardo,621592,jimee002,jimened01,19642,2019,2019
fernández,junior,658551,fernj006,fernaju01,18496,2019,2022
escobar,edwin,546276,escoe002,escobed02,10337,2014,2016
pelfrey,mike,460059,pelfm001,pelfrmi01,5203,2006,2017
ellard,fraser,686642,ellaf001,ellarfr01,-1,2024,2025
thompson,zach,605507,thomz001,thompza01,16094,2021,2025
weaver,jered,450308,weavj003,weaveje02,4235,2006,2017
hamel,dom,687589,hamed001,hameldo01,-1,2025,2025
canning,griffin,656288,canng001,cannigr01,19867,2019,2025
putnam,zach,474029,putnz001,putnaza01,9080,2011,2017
meyer,alex,543542,meyea001,meyeral01,12833,2015,2017
hagenman,justin,663795,hagej002,hagenju01,-1,2025,2025
seymour,carson,693313,seymc001,seymoca01,-1,2025,2025
fletcher,aaron,667465,fleta001,fletcaa01,22052,2020,2022
scott,christian,681035,scotc001,scottch01,-1,2024,2024
capuano,chris,425626,capuc001,capuach01,1701,2003,2016
belisle,matt,279571,belim001,belisma01,1837,2003,2018
ryan,river,689981,ryanr003,ryanri01,-1,2024,2024
antolin,dustin,542884,antod001,antoldu01,7119,2016,2016
rondón,bruce,541652,rondb001,rondobr01,5766,2013,2018
colón,bartolo,112526,colob001,colonba01,375,1997,2018
ramos,cesár,459987,ramoc001,ramosce01,3357,2009,2016
álvarez,henderson,506693,alvah001,alvarhe01,5669,2011,2017
gutiérrez,vladimir,661269,gutiv001,gutievl01,19278,2021,2024
estrada,lazaro,681751,estrl002,estrala01,-1,2025,2025
reed,addison,592665,reeda001,reedad01,10586,2011,2018
leon,arnold,504186,leona001,leonar01,5595,2015,2016
quinn,roman,596451,quinr003,quinnro01,13546,2016,2022
ziegler,brad,446899,ziegb001,zieglbr01,7293,2008,2018
hernández,roberto,433584,carmf001,carmofa01,3273,2006,2016
harris,hobie,665048,harrh001,harriho02,18615,2023,2023
houser,adrian,605288,housa001,housead01,12718,2015,2025
phillips,connor,683175,philc001,phillco01,27649,2023,2025
soriano,rafael,400089,sorir001,soriara01,1100,2002,2015
brothers,rex,571521,brotr001,brothre01,9794,2011,2021
zulueta,yosver,691172,zuluy001,zulueyo01,-1,2024,2025
poche,colin,621363,pochc001,pocheco01,19403,2019,2025
owens,henry,596064,owenh002,owenshe02,13143,2015,2016
vizcaíno,arodys,527055,vizca001,vizcaar01,5498,2011,2022
romero,jojo,668941,romej002,romerjo01,19574,2020,2025
rucker,michael,621074,ruckm001,ruckemi01,19454,2021,2023
ottavino,adam,493603,ottaa001,ottavad01,1247,2010,2025
barreda,manny,518435,barrm004,barrema03,10148,2021,2021
nance,tommy,667297,nanct001,nanceto01,19178,2021,2025
holaday,bryan,592407,holab001,holadbr01,11287,2012,2021
walker,jeremy,668683,walkj002,walkeje02,19981,2019,2019
anderson,cody,594736,andec002,anderco01,12799,2015,2019
torres,josé,600526,torrj001,torrejo02,14957,2016,2017
sborz,josh,622250,sborj002,sborzjo01,18323,2019,2024
hart,kyle,606996,hartk002,hartky01,19646,2020,2025
